method,pair_name,role_a,role_b,image_name,cover_mean_score,stego_mean_score,cover_max_score,stego_max_score,cover_flagged_ratio,stego_flagged_ratio,cover_mean_conf,stego_mean_conf,score_delta,max_score_delta,flagged_ratio_delta,confidence_delta,pair_mean_conf,score_delta_conf_weighted,pre_secret_mean_score,secret_mean_score,pre_secret_max_score,secret_max_score,pre_secret_flagged_ratio,secret_flagged_ratio,pre_secret_mean_conf,secret_mean_conf
original,pre_secret_vs_secret,pre_secret,secret,01499.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.05,0.05,0.2,0.2,0.25,0.25,0.5,0.5
spread_spectrum,cover_vs_stego,cover,stego,00099.png,0.0,0.075,0.0,0.3,0.0,0.0,0.5,0.5,0.075,0.3,0.0,0.0,0.5,0.0375,,,,,,,,
spread_spectrum,cover_vs_stego,cover,stego,00199.png,0.1,0.5499999999999999,0.4,1.0,0.25,0.75,0.5,0.5,0.44999999999999996,0.6,0.5,0.0,0.5,0.22499999999999998,,,,,,,,
spread_spectrum,cover_vs_stego,cover,stego,00299.png,0.0,0.175,0.0,0.5,0.0,0.25,0.5,0.5,0.175,0.5,0.25,0.0,0.5,0.0875,,,,,,,,
spread_spectrum,cover_vs_stego,cover,stego,00399.png,0.0,0.375,0.0,1.3,0.0,0.25,0.5,0.5666666666666667,0.375,1.3,0.25,0.06666666666666665,0.5333333333333333,0.2,,,,,,,,
spread_spectrum,cover_vs_stego,cover,stego,00499.png,0.0,0.125,0.0,0.5,0.0,0.0,0.5,0.5,0.125,0.5,0.0,0.0,0.5,0.0625,,,,,,,,
spread_spectrum,cover_vs_stego,cover,stego,00599.png,0.0,0.07500000000000001,0.0,0.2,0.0,0.25,0.5,0.5,0.07500000000000001,0.2,0.25,0.0,0.5,0.037500000000000006,,,,,,,,
spread_spectrum,cover_vs_stego,cover,stego,00699.png,0.0,0.19999999999999998,0.0,0.7,0.0,0.25,0.5,0.5,0.19999999999999998,0.7,0.25,0.0,0.5,0.09999999999999999,,,,,,,,
spread_spectrum,cover_vs_stego,cover,stego,00799.png,0.15000000000000002,0.475,0.2,1.0,0.25,0.75,0.5,0.5,0.32499999999999996,0.8,0.5,0.0,0.5,0.16249999999999998,,,,,,,,
spread_spectrum,cover_vs_stego,cover,stego,00899.png,0.0,0.22499999999999998,0.0,0.7,0.0,0.25,0.5,0.5,0.22499999999999998,0.7,0.25,0.0,0.5,0.11249999999999999,,,,,,,,
spread_spectrum,cover_vs_stego,cover,stego,00999.png,0.0,0.15000000000000002,0.0,0.4,0.0,0.0,0.6666666666666666,0.5,0.15000000000000002,0.4,0.0,-0.16666666666666663,0.5833333333333333,0.08750000000000001,,,,,,,,
spread_spectrum,cover_vs_stego,cover,stego,01099.png,0.025,0.225,0.1,0.5,0.0,0.25,0.5,0.5,0.2,0.4,0.25,0.0,0.5,0.1,,,,,,,,
spread_spectrum,cover_vs_stego,cover,stego,01199.png,0.0,0.25,0.0,0.8,0.0,0.25,0.5,0.5,0.25,0.8,0.25,0.0,0.5,0.125,,,,,,,,
